frame_number,timestamp_sec,src_ip,src_entity,dst_ip,dst_entity,port,protocol,message_type,description,phase,step_ref,spec_reference
850,6.095796000,127.0.1.10,NRF1,127.0.0.1,SCP1,57282,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
852,6.095929000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43622,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
858,6.150905000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
859,6.151200000,127.0.0.1,SCP1,127.0.1.10,NRF1,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
860,6.151388000,127.0.1.10,NRF1,127.0.0.1,SCP1,57282,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
862,6.151545000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43624,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
868,6.205631000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
869,6.205915000,127.0.0.1,SCP1,127.0.1.10,NRF1,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
870,6.206096000,127.0.1.10,NRF1,127.0.0.1,SCP1,57282,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
872,6.206230000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43626,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
876,6.257932000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
877,6.258230000,127.0.0.1,SCP1,127.0.1.10,NRF1,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
878,6.258428000,127.0.1.10,NRF1,127.0.0.1,SCP1,57282,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
880,6.258599000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43630,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
881,6.298883000,127.0.0.1,H-AMF,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
882,6.299118000,127.0.0.1,SCP1,127.0.1.10,NRF1,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
883,6.299282000,127.0.1.10,NRF1,127.0.0.1,SCP1,57282,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
885,6.299394000,127.0.1.200,SCP1,127.0.0.1,H-AMF,43634,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
887,6.327164000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
888,6.327311000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
889,6.327445000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
