frame_number,timestamp_sec,src_ip,src_entity,dst_ip,dst_entity,port,protocol,message_type,description,phase,step_ref,spec_reference
957,6.491465000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
960,6.511608000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
961,6.511674000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
962,6.511766000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
963,6.511798000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
964,6.531977000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
965,6.532087000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
966,6.532204000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
967,6.532252000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
971,6.552511000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
972,6.552635000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
973,6.552752000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
974,6.552795000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
979,6.572986000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
980,6.573084000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
981,6.573200000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
982,6.573243000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
985,6.593505000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
986,6.593613000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
987,6.593717000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
988,6.593763000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
991,6.613926000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
992,6.614019000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
993,6.614120000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
994,6.614154000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
995,6.634382000,127.0.0.3,T-NG-RAN,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL: T-NG-RAN -> V-UPF] TEID=0x00001502,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
996,6.634484000,127.0.2.7,V-UPF,127.0.1.7,H-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [UL-N9: V-UPF -> H-UPF] TEID=0x00005ac8,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
997,6.634613000,127.0.1.7,H-UPF,127.0.2.7,V-UPF,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL-N9: H-UPF -> V-UPF] TEID=0x0000aec7,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
998,6.634650000,127.0.2.7,V-UPF,127.0.0.3,T-NG-RAN,2152,GTP-U (UDP),T-PDU,GTP-U user data (T-PDU) [DL: V-UPF -> T-NG-RAN] TEID=0x0000000b,Post-Handover - Data Path Verification,Post-HO Data Path Verification,TS 29.281 s7.1 / TS 23.502 s4.23.7.3 (post-HO)
1001,6.654996000,127.0.0.3,T-NG-RAN,127.0.2.5,V-AMF,38412,NGAP (SCTP),UEContextReleaseRequest,T-NG-RAN requests V-AMF to release UE context,Post-Handover - Cleanup,N2 Cleanup (T-NG-RAN -> V-AMF),TS 38.413 s9.3.6.2
1002,6.655488000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nsmf_PDUSession_UpdateSMContext (V-SMF),V-AMF sends handover-complete UpdateSMContext to V-SMF,Execution - Completion (HR),HR Exec Step 2 (V-AMF -> V-SMF via SCP2),TS 29.502 s5.2.5 / TS 23.502 s4.23.7.3.3 Step 2
1003,6.655904000,127.0.0.1,SCP2,127.0.2.4,V-SMF,80,SBI (HTTP/2),Nsmf_PDUSession_UpdateSMContext (V-SMF),V-AMF sends handover-complete UpdateSMContext to V-SMF,Execution - Completion (HR),HR Exec Step 2 (V-AMF -> V-SMF via SCP2),TS 29.502 s5.2.5 / TS 23.502 s4.23.7.3.3 Step 2
1004,6.656168000,127.0.0.1,V-SMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF),V-SMF updates H-SMF with new data path info (DL switch / cleanup),Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1005,6.656333000,127.0.0.1,SCP2,127.0.2.250,SEPP2,7777,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF),V-SMF updates H-SMF with new data path info (DL switch / cleanup),Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1006,6.656595000,127.0.0.1,SEPP2,127.0.1.252,SEPP1,7777,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF),V-SMF updates H-SMF with new data path info (DL switch / cleanup),Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1007,6.656845000,127.0.0.1,SEPP1,127.0.1.200,SCP1,7777,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF),V-SMF updates H-SMF with new data path info (DL switch / cleanup),Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1008,6.657180000,127.0.0.1,SCP1,127.0.1.4,H-SMF,80,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF),V-SMF updates H-SMF with new data path info (DL switch / cleanup),Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1009,6.657415000,127.0.1.4,H-SMF,127.0.1.7,H-UPF,8805,PFCP (UDP),PFCP Session Modification Request,H-SMF modifies PSA-UPF N4 session after V-SMF update,Execution - Completion (HR),HR Exec Step 7a (H-SMF -> H-UPF N4 modification),TS 29.244 s7.5 / TS 23.502 s4.23.7.3.3 Step 7a/7b
1010,6.657558000,127.0.1.7,H-UPF,127.0.1.4,H-SMF,8805,PFCP (UDP),PFCP Session Modification Response,PSA-UPF confirms post-handover N4 modification,Execution - Completion (HR),HR Exec Step 7b (H-UPF -> H-SMF N4 modification response),TS 29.244 s7.5 / TS 23.502 s4.23.7.3.3 Step 7a/7b
1011,6.657663000,127.0.1.4,H-SMF,127.0.0.1,SCP1,39590,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF) Response,Response to Nsmf_PDUSession_Update (V-SMF -> H-SMF) [HTTP 204],Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1013,6.657809000,127.0.1.200,SCP1,127.0.0.1,SEPP1,43590,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF) Response,Response to Nsmf_PDUSession_Update (V-SMF -> H-SMF) [HTTP 204],Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1015,6.657941000,127.0.1.252,SEPP1,127.0.0.1,SEPP2,45454,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF) Response,Response to Nsmf_PDUSession_Update (V-SMF -> H-SMF) [HTTP 204],Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1017,6.658084000,127.0.2.250,SEPP2,127.0.0.1,SCP2,58280,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF) Response,Response to Nsmf_PDUSession_Update (V-SMF -> H-SMF) [HTTP 204],Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1018,6.658216000,127.0.2.200,SCP2,127.0.0.1,V-SMF,53126,SBI (HTTP/2),Nsmf_PDUSession_Update (V-SMF -> H-SMF) Response,Response to Nsmf_PDUSession_Update (V-SMF -> H-SMF) [HTTP 204],Execution - Completion (HR),HR Exec Step 6 (V-SMF -> H-SMF via SEPP chain),TS 29.502 s5.2.3 / TS 23.502 s4.23.7.3.3 Step 6
1020,6.658380000,127.0.2.4,V-SMF,127.0.0.1,SCP2,52226,SBI (HTTP/2),Nsmf_PDUSession_UpdateSMContext (V-SMF) Response,Response to V-AMF handover-complete UpdateSMContext [HTTP 200],Execution - Completion (HR),HR Exec Step 9 (UpdateSMContext response from V-SMF),TS 29.502 s5.2.5 / TS 23.502 s4.23.7.3.3 Step 9
1023,6.658506000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53114,SBI (HTTP/2),Nsmf_PDUSession_UpdateSMContext (V-SMF) Response,Response to V-AMF handover-complete UpdateSMContext [HTTP 200],Execution - Completion (HR),HR Exec Step 9 (UpdateSMContext response from V-SMF),TS 29.502 s5.2.5 / TS 23.502 s4.23.7.3.3 Step 9
1027,6.658839000,127.0.2.5,V-AMF,127.0.0.3,T-NG-RAN,43743,NGAP (SCTP),UEContextReleaseCommand,AMF releases UE context at gNB,Post-Handover - Cleanup,N2 Exec Step 14 UECtxRelease,TS 38.413 s9.3.6.4 / TS 23.502 s4.9.1.3.3 Step 14a
1028,6.658963000,127.0.0.3,T-NG-RAN,127.0.2.5,V-AMF,38412,NGAP (SCTP),UEContextReleaseComplete,gNB confirms UE context released,Post-Handover - Cleanup,N2 Exec Step 14 UECtxRelease,TS 38.413 s9.3.6.4 / TS 23.502 s4.9.1.3.3 Step 14b
1080,7.054102000,127.0.1.7,H-UPF,127.0.1.4,H-SMF,8805,PFCP (UDP),PFCP Heartbeat Request,N4 keepalive from SMF to UPF,Pre-Handover - Setup,N4 Heartbeat,TS 29.244 s6.2.5
1081,7.054375000,127.0.1.4,H-SMF,127.0.1.7,H-UPF,8805,PFCP (UDP),PFCP Heartbeat Response,N4 keepalive response from UPF to SMF,Pre-Handover - Setup,N4 Heartbeat,TS 29.244 s6.2.5
1082,7.054447000,127.0.1.4,H-SMF,127.0.1.7,H-UPF,8805,PFCP (UDP),PFCP Heartbeat Request,N4 keepalive from SMF to UPF,Pre-Handover - Setup,N4 Heartbeat,TS 29.244 s6.2.5
1083,7.054559000,127.0.1.7,H-UPF,127.0.1.4,H-SMF,8805,PFCP (UDP),PFCP Heartbeat Response,N4 keepalive response from UPF to SMF,Pre-Handover - Setup,N4 Heartbeat,TS 29.244 s6.2.5
1140,7.867173000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1141,7.867398000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1148,7.918621000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1149,7.918902000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1150,7.919058000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1152,7.919243000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53098,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1163,8.073786000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1165,8.074086000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1166,8.074321000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1168,8.075525000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53114,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1171,8.077127000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1172,8.077281000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1173,8.077424000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1174,8.077531000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53126,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1179,8.127595000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1180,8.127951000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1181,8.128178000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1183,8.128362000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53134,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1188,8.182057000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1189,8.182427000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1190,8.182735000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1192,8.182931000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53146,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1197,8.236627000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1198,8.236991000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1199,8.237223000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1201,8.237417000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53148,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1203,8.280891000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1204,8.281162000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1205,8.281394000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1207,8.281618000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53154,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1209,8.332195000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1210,8.332466000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1211,8.332706000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1213,8.332856000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53160,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1215,8.381919000,127.0.0.1,V-AMF,127.0.2.200,SCP2,7777,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1216,8.382198000,127.0.0.1,SCP2,127.0.2.10,NRF2,80,SBI (HTTP/2),Nnrf_NFManagement Update,NF heartbeat / NF profile registration,Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1217,8.382387000,127.0.2.10,NRF2,127.0.0.1,SCP2,45818,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
1219,8.382544000,127.0.2.200,SCP2,127.0.0.1,V-AMF,53166,SBI (HTTP/2),Nnrf_NFManagement Update Response,Response to Nnrf_NFManagement Update [HTTP 204],Pre-Handover - Setup,NF Registration (heartbeat),TS 29.510 s5.2.3
